Designator,Footprint,Quantity,Value,LCSC Part #
C1,0805,1,1u,
C10,0805,1,100n,
C11,0805,1,100n,
C12,0805,1,100n,
C13,0805,1,100n,
C14,0805,1,100n,
C15,0805,1,100n,
C16,0805,1,100n,
C17,0805,1,100n,
C18,0805,1,100n,
C19,0805,1,100n,
C20,0805,1,100n,
C21,0805,1,100n,
C22,0805,1,100n,
C23,CP_Elec_6.3x5.4,1,100u/16V,
C24,0805,1,100n,
C25,0805,1,100n,
C26,CP_Elec_6.3x5.4,1,100u/12V,
C4,1210,1,100n,
C6,0805,1,1u,
C8,0805,1,100n,
C9,0805,1,100n,
D1,0805,1,LED,
DO1,IDC-Header_2x06_P2.54mm_Vertical,1,Regulators,
"H1, H2, H3, H4",MountingHole_3.7mm_Pad_Via,4,MountingHole,
I2C1,IDC-Header_2x03_P2.54mm_Vertical,1,I2C,
J1,PinHeader_1x03_P2.54mm_Vertical,1,PROG,
L1,CKCS6028,1,6.8uH,
R1,0805,1,10k,
R10,0805,1,1k5,
R11,0805,1,1k5,
R12,0805,1,1k5,
R13,0805,1,1k5,
R14,0805,1,1k5,
R15,0805,1,1k5,
R16,0805,1,1k5,
R17,0805,1,100k,
R18,0805,1,100k,
R19,0805,1,100k,
R2,1206,1,1k5,
R20,0805,1,100k,
R21,0805,1,100k,
R22,0805,1,100k,
R23,0805,1,56k,
R24,0805,1,56k,
R25,0805,1,56k,
R26,0805,1,56k,
R27,0805,1,56k,
R28,0805,1,56k,
R29,0805,1,1k5,
R3,0805,1,1k5,
R30,0805,1,1k5,
R31,0805,1,270R,
R32,0805,1,100k,
R33,0805,1,30k 1%,
R34,0805,1,6.65k 1%,
R4,0805,1,56k,
R5,0805,1,1k5,
R6,0805,1,1k5,
R7,0805,1,1k5,
R8,0805,1,1k5,
R9,0805,1,1k5,
U1,YS-12V450A,1,YS-12V450A,
U2,SO-4_4.4x3.6mm_P2.54mm,1,LTV-354T,
U3,ESP32-C3-WROOM-02 Handsolder,1,ESP32-C3-WROOM-02,
"U5, U6, U7",SOIC-8_3.9x4.9mm_P1.27mm,3,LM358,
U8,SOT-23-6,1,FR8205,
X1,DG235-3.81-02P,1,MAINS,
X2,DG235-3.81-02P,1,TARIFF,
