Designator,Mid X,Mid Y,Rotation,Layer
C1,3.0,59.0,270.0,top
C10,13.0,25.5,180.0,top
C11,35.0,25.5,0.0,top
C12,13.0,15.5,180.0,top
C13,35.0,15.5,0.0,top
C14,24.0,22.5,180.0,top
C15,17.0,35.5,180.0,top
C16,31.0,35.5,0.0,top
C17,17.0,25.5,180.0,top
C18,31.0,25.5,0.0,top
C19,17.0,15.5,180.0,top
C20,31.0,15.5,0.0,top
C21,37.0,68.0,180.0,bottom
C22,38.0,58.0,180.0,bottom
C23,17.5,54.0,270.0,top
C24,38.0,64.0,180.0,top
C25,38.0,62.0,180.0,top
C3,19.5,54.0,270.0,top
C4,34.0,57.0,0.0,top
C6,24.0,42.5,180.0,top
C7,24.0,32.5,180.0,top
C8,13.0,35.5,180.0,top
C9,35.0,35.5,0.0,top
D1,24.0,60.0,180.0,top
DO1,13.56,6.0425,90.0,top
I2C1,38.255,6.0425,90.0,top
J1,25.5,77.0,180.0,top
L1,38.0,52.0,0.0,top
R1,3.0,55.0,270.0,top
R10,35.0,20.5,0.0,top
R11,13.0,38.0,0.0,top
R12,35.0,38.0,180.0,top
R13,13.0,28.0,0.0,top
R14,35.0,28.0,180.0,top
R15,13.0,18.0,0.0,top
R16,35.0,18.0,180.0,top
R17,17.0,38.0,0.0,top
R18,31.0,38.0,180.0,top
R19,17.0,28.0,0.0,top
R2,24.5,55.5,180.0,top
R20,31.0,28.0,180.0,top
R21,17.0,18.0,0.0,top
R22,31.0,18.0,180.0,top
R23,17.0,40.5,180.0,top
R24,31.0,40.5,0.0,top
R25,17.0,30.5,180.0,top
R26,31.0,30.5,0.0,top
R27,17.0,20.5,180.0,top
R28,31.0,20.5,0.0,top
R29,17.0,43.0,0.0,top
R3,32.0,60.0,0.0,top
R30,31.0,43.0,180.0,top
R31,17.0,33.0,0.0,top
R32,31.0,33.0,180.0,top
R33,17.0,23.0,0.0,top
R34,31.0,23.0,180.0,top
R35,37.0,63.0,0.0,bottom
R36,28.0,8.0,270.0,top
R37,28.0,4.0,270.0,top
R38,20.0,60.0,0.0,top
R39,43.0,58.0,0.0,bottom
R4,29.0,56.5,0.0,top
R40,38.0,55.0,0.0,bottom
R5,13.0,40.5,180.0,top
R6,35.0,40.5,0.0,top
R7,13.0,30.5,180.0,top
R8,35.0,30.4,0.0,top
R9,13.0,20.5,180.0,top
U2,29.0,53.0,0.0,top
U3,12.0,72.0,0.0,top
U4,24.0,38.0,270.0,top
U5,24.0,28.0,270.0,top
U6,24.0,18.0,270.0,top
U7,43.0,65.0,270.0,bottom
X1,33.758,77.523,180.0,top
X2,41.428,77.523,180.0,top
